temp,rh,miu,pv,phi,dphi,crow,lam,dw,dp,ldml,ldmg,ldtg
20.0,0.0022000000000000006,-828569.6302657371,5.14536814016276,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.449507325593285e-12,1.625402288736033e-8
20.0,0.0023,-822550.7403591161,5.379248510170157,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.5153940222111613e-12,1.6961728380074757e-8
20.0,0.0024000000000000015,-816788.0524736407,5.613128880177559,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.581280718829039e-12,1.7668110310686707e-8
20.0,0.0025000000000000005,-811260.6430622686,5.847009250184954,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.6471674154469148e-12,1.8373223860262553e-8
20.0,0.0026000000000000016,-805950.0515159246,6.080889620192355,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.7130541120647923e-12,1.90771197916952e-8
20.0,0.0027000000000000027,-800839.9081598191,6.314769990199756,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.7789408086826695e-12,1.977984496002872e-8
20.0,0.0028000000000000034,-795915.629936231,6.548650360207156,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.844827505300547e-12,2.0481442747085718e-8
20.0,0.0029000000000000015,-791164.1695124627,6.78253073021455,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.910714201918422e-12,2.1181953433933595e-8
20.0,0.003000000000000002,-786573.8069396762,7.016411100221949,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,1.9766008985362986e-12,2.1881414521921306e-8
20.0,0.003100000000000003,-782133.9754860931,7.2502914702293495,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,2.0424875951541764e-12,2.257986101086845e-8
20.0,0.0032000000000000045,-777835.1151309052,7.484171840236751,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,2.1083742917720537e-12,2.327732564132578e-8
20.0,0.0033000000000000017,-773668.5486091801,7.718052210244143,0.0,0.0,1300.758,11.11111111111111,0.0,3.814445156746236e-8,0.0,2.1742609883899286e-12,2.3973839106526558e-8
