Time [s],Time [day],Original,Reconstructed
2644200.0,30.604166666666668,14.142,14.141999999999998
2644800.0,30.61111111111111,14.115,14.114999999999991
2645400.0,30.618055555555557,14.088,14.087999999999994
2646000.0,30.625,14.061,14.061
2646600.0,30.631944444444443,14.131,14.131000000000007
2647200.0,30.63888888888889,14.216,14.215999999999998
2647800.0,30.645833333333332,14.303,14.303000000000011
2648400.0,30.65277777777778,14.39,14.38999999999999
2649000.0,30.65972222222222,14.477,14.47700000000001
2649600.0,30.666666666666668,14.565,14.565000000000001
2650200.0,30.67361111111111,14.565,14.565000000000005
2650800.0,30.680555555555557,14.551,14.551
2651400.0,30.6875,14.535,14.535000000000002
2652000.0,30.694444444444443,14.519,14.518999999999998
2652600.0,30.70138888888889,14.502,14.502000000000006
2653200.0,30.708333333333332,14.484,14.483999999999991
2653800.0,30.71527777777778,14.453,14.453
2654400.0,30.72222222222222,14.42,14.419999999999996
2655000.0,30.729166666666668,14.386,14.386000000000001
2655600.0,30.73611111111111,14.351,14.351
2656200.0,30.743055555555557,14.316,14.315999999999988
2656800.0,30.75,14.281,14.280999999999999
2657400.0,30.756944444444443,14.208,14.208
2658000.0,30.76388888888889,14.13,14.130000000000003
2658600.0,30.770833333333332,14.05,14.049999999999997
2659200.0,30.77777777777778,13.971,13.97100000000001
2659800.0,30.78472222222222,13.89,13.890000000000013
2660400.0,30.791666666666668,13.809,13.808999999999994
2661000.0,30.79861111111111,13.784,13.78400000000001
2661600.0,30.805555555555557,13.768,13.768000000000008
2662200.0,30.8125,13.753,13.753000000000007
2662800.0,30.819444444444443,13.737,13.736999999999997
2663400.0,30.82638888888889,13.72,13.719999999999999
2664000.0,30.833333333333332,13.704,13.703999999999988
2664600.0,30.84027777777778,13.605,13.604999999999993
2665200.0,30.84722222222222,13.491,13.490999999999998
2665800.0,30.854166666666668,13.377,13.377000000000004
2666400.0,30.86111111111111,13.263,13.262999999999998
2667000.0,30.868055555555557,13.148,13.148000000000009
2667600.0,30.875,13.032,13.031999999999991
2668200.0,30.881944444444443,12.923,12.923000000000002
2668800.0,30.88888888888889,12.817,12.817000000000005
2669400.0,30.895833333333332,12.709,12.709
2670000.0,30.90277777777778,12.6,12.599999999999996
2670600.0,30.90972222222222,12.491,12.490999999999993
2671200.0,30.916666666666668,12.382,12.381999999999998
2671800.0,30.92361111111111,12.296,12.295999999999994
2672400.0,30.930555555555557,12.211,12.211000000000007
2673000.0,30.9375,12.129,12.12899999999999
2673600.0,30.944444444444443,12.047,12.046999999999995
2674200.0,30.95138888888889,11.965,11.964999999999986
2674800.0,30.958333333333332,11.885,11.884999999999991
2675400.0,30.96527777777778,11.765,11.764999999999997
2676000.0,30.97222222222222,11.64,11.639999999999995
2676600.0,30.979166666666668,11.514,11.514000000000008
2677200.0,30.98611111111111,11.388,11.387999999999987
2677800.0,30.993055555555557,11.261,11.260999999999996
2678400.0,31.0,11.135,11.135
2679000.0,31.006944444444443,11.044,11.044000000000004
2679600.0,31.01388888888889,10.96,10.959999999999994
2680200.0,31.020833333333332,10.876,10.875999999999989
2680800.0,31.02777777777778,10.792,10.792000000000005
2681400.0,31.03472222222222,10.708,10.708000000000002
2682000.0,31.041666666666668,10.625,10.625000000000005
2682600.0,31.04861111111111,10.567,10.566999999999991
2683200.0,31.055555555555557,10.513,10.512999999999993
2683800.0,31.0625,10.459,10.458999999999993
2684400.0,31.069444444444443,10.406,10.406000000000004
2685000.0,31.07638888888889,10.353,10.352999999999987
