åé,ì˙,éû,ãCâ∑,ê‚ëŒéºìx,êÑíËì˙éÀó ,â∫å¸Ç´ëÂãCï˙éÀ,ìÏñkïó,ìåêºïó,ãCà≥,ç~êÖó ,ïóë¨,ïóå¸,ëæózçÇìx,ëæózï˚à ,ñ@ê¸ñ íºíBì˙éÀó ,êÖïΩñ ìVãÛì˙éÀó ,ñÈä‘ï˙éÀ
1,2,4,-5.164159,1.950952,0.000000,0.821509,0.044179,2.268856,99650.858151,0.674681,2.268856,270.000000,-39.122465,85.756030,0.000000,0.000000,0.231259
1,2,5,-4.532689,1.902731,0.000000,0.797833,-0.314570,2.915680,99707.614548,0.575684,2.915680,270.000000,-28.194661,95.965122,0.000000,0.000000,0.264893
1,2,6,-4.389574,1.763062,0.000000,0.766739,-0.781938,3.385619,99689.978772,0.095617,3.427139,292.500000,-17.451829,105.413259,0.000000,0.000000,0.298254
1,2,7,-3.909546,1.678673,0.000000,0.743851,-0.859602,3.985286,99802.418264,0.087649,4.010880,292.500000,-7.185878,114.886959,0.000000,0.000000,0.328771
1,2,8,-3.702877,1.697525,0.072770,0.747909,-0.677115,4.292650,99935.357774,0.086303,4.292650,270.000000,2.294260,124.950092,0.000000,0.072770,0.328011
1,2,9,-3.009567,1.966982,0.402230,0.835638,-0.975435,3.877777,100081.954266,0.811495,3.955881,292.500000,10.613605,136.050609,0.922293,0.232357,0.251398
1,2,10,-1.992733,1.968924,0.707466,0.860263,-1.764987,4.391166,100235.250489,0.685664,4.732339,292.500000,17.310580,148.496868,0.899764,0.439740,0.243233
1,2,11,-1.727668,1.767100,1.066074,0.788717,-2.184088,5.006863,100293.190995,0.171086,5.461553,292.500000,21.866754,162.325434,1.394880,0.546552,0.319099
1,2,12,-1.968295,1.791004,1.185392,0.795162,-2.997327,4.970632,100287.824575,0.073013,5.739293,292.500000,23.819072,177.140624,1.366522,0.633522,0.308731
1,2,13,-2.292770,1.661633,1.129069,0.808239,-3.190624,5.168224,100400.686268,0.139658,5.995816,292.500000,22.933547,192.132788,1.332802,0.609725,0.290381
1,2,14,-2.687731,1.587369,0.969916,0.788669,-3.051845,5.034533,100567.018312,0.096245,5.819192,292.500000,19.319268,206.408397,1.922399,0.333926,0.303556
1,2,15,-3.024507,1.709458,0.622535,0.802810,-2.587426,4.142305,100652.562487,0.101083,4.817156,292.500000,13.373080,219.395393,1.454791,0.286055,0.283986
1,2,16,-3.449259,1.669289,0.174159,0.833646,-2.082268,3.506603,100819.330607,0.168529,4.036528,292.500000,5.610465,230.981066,0.436294,0.131505,0.246330
1,2,17,-3.832758,1.883903,0.003456,0.865703,-1.103921,2.924405,100842.963424,0.627659,3.124250,292.500000,-3.478002,241.390863,0.000000,0.003456,0.208143
1,2,18,-4.299672,1.609231,0.000000,0.798433,-0.302952,3.360843,100868.377030,0.218936,3.360843,270.000000,-13.484944,251.028936,0.000000,0.000000,0.267986
1,2,19,-4.336965,1.633575,0.000000,0.712991,-0.482602,3.404480,100963.244103,0.025940,3.404480,270.000000,-24.080738,260.410350,0.000000,0.000000,0.352836
1,2,20,-4.468648,1.659828,0.000000,0.727542,-0.433253,2.934357,100999.165363,0.050861,2.934357,270.000000,-34.974643,270.214305,0.000000,0.000000,0.336199
1,2,21,-4.500525,1.711659,0.000000,0.774002,-0.432575,2.802573,101069.597601,0.035720,2.802573,270.000000,-45.844126,281.504899,0.000000,0.000000,0.289234
1,2,22,-4.334106,1.781122,0.000000,0.803603,-0.557410,2.659259,101046.773287,0.146215,2.670147,292.500000,-56.180223,296.292680,0.000000,0.000000,0.262270
1,2,23,-4.495204,1.735196,0.000000,0.796956,-0.554543,2.629197,101028.497548,0.091443,2.641276,292.500000,-64.871069,318.586712,0.000000,0.000000,0.266364
1,3,0,-4.794651,1.693540,0.000000,0.789803,-0.817919,2.793594,101090.736451,0.078704,2.893948,292.500000,-69.328517,244.337263,0.000000,0.000000,0.268784
1,3,1,-4.654869,1.679695,0.000000,0.785828,-0.892875,2.882579,101093.226566,0.135201,3.004845,292.500000,-67.229253,29.529913,0.000000,0.000000,0.274967
1,3,2,-4.684712,1.661996,0.000000,0.785463,-0.861572,2.688173,101159.958770,0.079912,2.813257,292.500000,-59.769492,56.150237,0.000000,0.000000,0.274860
1,3,3,-5.964323,1.565872,0.000000,0.772646,-0.548636,2.181213,101232.378350,0.027698,2.225132,292.500000,-49.889944,73.239761,0.000000,0.000000,0.267605
1,3,4,-5.882846,1.573128,0.000000,0.781000,-0.546844,2.247085,101268.348120,0.013343,2.285304,292.500000,-39.150826,85.577479,0.000000,0.000000,0.260521
1,3,5,-5.770276,1.589884,0.000000,0.782054,-0.441373,2.179095,101246.959308,0.003861,2.182128,292.500000,-28.222653,95.808073,0.000000,0.000000,0.261223
1,3,6,-6.076141,1.573286,0.000000,0.788687,0.145467,1.785877,101232.452654,0.003861,1.785877,270.000000,-17.474563,105.267278,0.000000,0.000000,0.249824
1,3,7,-6.089323,1.597671,0.000000,0.832950,0.408278,1.657194,101332.940716,0.001931,1.687289,247.500000,-7.199258,114.745455,0.000000,0.000000,0.205356
1,3,8,-5.785123,1.711462,0.062054,0.895743,0.704585,1.351270,101349.494383,0.031519,1.518044,247.500000,2.294241,124.809017,0.000000,0.062054,0.147302
1,3,9,-4.448485,1.847479,0.365376,0.898326,1.096766,0.707605,101288.258859,0.053806,1.284068,202.500000,10.631068,135.908382,0.429212,0.286194,0.165734
1,3,10,-2.992060,2.044716,0.603848,0.908855,1.001755,0.001611,101288.509387,0.003861,1.001755,180.000000,17.349425,148.355133,0.370701,0.493306,0.178463
1,3,11,-1.857697,2.134378,0.668109,0.973839,1.279299,-0.535527,101129.736401,0.003861,1.386855,157.500000,21.929655,162.189833,0.139065,0.616172,0.131856
1,3,12,-1.005984,2.267419,0.746861,1.024655,1.560784,-0.836585,100888.579146,0.015894,1.762124,157.500000,23.906080,177.019813,0.278607,0.633959,0.094991
1,3,13,-0.183502,2.362626,0.806138,1.001906,2.138247,-0.545497,100765.731480,0.036294,2.184236,157.500000,23.041413,192.034700,0.463906,0.624567,0.131337
1,3,14,0.479535,2.544589,0.674789,1.017195,2.116270,-0.311738,100650.340599,0.072026,2.116270,180.000000,19.442486,206.336315,0.348982,0.558627,0.127098
1,3,15,1.006332,2.832978,0.493244,0.962631,2.155058,-0.392105,100429.506933,0.016155,2.155058,180.000000,13.505925,219.347487,0.487196,0.379461,0.190500
1,3,16,-0.015131,3.009055,0.139643,0.947607,1.472005,0.429242,100463.608448,0.405158,1.524219,202.500000,5.748449,230.952850,0.074705,0.132161,0.188434
1,3,17,0.075905,3.040492,0.002253,1.055427,-1.142414,1.985119,100547.419998,0.785423,2.271194,292.500000,-3.337788,241.377585,0.000000,0.002253,0.082130
1,3,18,0.047256,2.908843,0.000000,1.064100,-1.288557,2.114422,100555.750993,0.246483,2.446581,292.500000,-13.344099,251.026580,0.000000,0.000000,0.072980
1,3,19,-0.580331,2.806369,0.000000,1.024762,-1.130713,1.796066,100548.494165,0.237749,2.092054,292.500000,-23.939935,260.415495,0.000000,0.000000,0.101905
1,3,20,-1.212550,2.737631,0.000000,1.021273,-0.483438,1.466493,100508.596167,0.115536,1.539867,292.500000,-34.833937,270.223023,0.000000,0.000000,0.094978
1,3,21,-1.587943,2.579223,0.000000,1.038178,0.123941,1.490583,100573.386555,0.051489,1.490583,270.000000,-45.703298,281.509661,0.000000,0.000000,0.071922
1,3,22,-1.855627,2.414611,0.000000,1.033826,-0.247706,1.865974,100559.843151,0.071996,1.865974,270.000000,-56.039871,296.272737,0.000000,0.000000,0.071903
1,3,23,-2.265333,2.250147,0.000000,0.952532,-0.775470,2.109641,100578.562227,0.049456,2.245814,292.500000,-64.737684,318.482091,0.000000,0.000000,0.146532
1,4,0,-2.998558,2.044060,0.000000,0.865427,-0.346025,2.377181,100620.778264,0.029471,2.377181,270.000000,-69.219945,244.072126,0.000000,0.000000,0.221786
1,4,1,-3.438913,1.913842,0.000000,0.824452,-0.451057,2.258117,100618.319527,0.003592,2.258840,292.500000,-67.179035,29.181511,0.000000,0.000000,0.255689
1,4,2,-4.014786,1.858976,0.000000,0.788808,-0.253892,2.299610,100632.651903,0.003331,2.299610,270.000000,-59.763794,55.861153,0.000000,0.000000,0.282138
1,4,3,-4.916452,1.783188,0.000000,0.775638,-0.477899,2.329190,100598.875296,0.061738,2.334775,292.500000,-49.905143,73.014837,0.000000,0.000000,0.281029
1,4,4,-4.811078,1.861899,0.000000,0.789360,-0.522088,2.189338,100599.249916,0.054827,2.222479,292.500000,-39.173306,85.392154,0.000000,0.000000,0.268968
1,4,5,-4.870168,1.886149,0.000000,0.832987,-0.308191,2.143376,100588.499122,0.084314,2.143376,270.000000,-28.244847,95.645121,0.000000,0.000000,0.224409
1,4,6,-5.994860,1.752813,0.000000,0.832591,0.051998,2.075983,100563.396990,0.195209,2.075983,270.000000,-17.491387,105.116110,0.000000,0.000000,0.207185
1,4,7,-5.296411,1.823171,0.000000,0.854149,-0.292861,2.372963,100632.999918,0.136316,2.372963,270.000000,-7.206480,114.599393,0.000000,0.000000,0.196543
1,4,8,-4.517129,2.041045,0.059584,0.898736,-0.820244,2.184673,100668.381778,0.552023,2.332268,292.500000,2.300719,124.664026,0.000000,0.059584,0.164237
1,4,9,-3.497122,1.985803,0.362784,0.879833,-0.801210,2.694547,100632.032126,1.096283,2.796047,292.500000,10.655409,135.763010,0.504701,0.269464,0.199376
