ì˙ït,ãCâ∑,ëäëŒéºìx,ãCà≥,ç~êÖó ,ç~ê·ó ,ïóë¨,ïóå¸,ëSìVì˙éÀó ,ëÂãCìßâﬂó¶,â_ó 
y/m/d HH:MM,Åé,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2012/1/5 18:00,5.9,47,,0,,3.1,ñkêº,,1.00E-50,
2012/1/5 19:00,5.6,50,,0,,2,ñkñkêº,,1.00E-50,
2012/1/5 20:00,4.3,50,,0,,2.3,êºñkêº,,1.00E-50,
2012/1/5 21:00,2.3,60,,0,,1.7,ñkêº,,1.00E-50,
2012/1/5 22:00,1.2,64,,0,,1.4,ìå,,1.00E-50,
2012/1/5 23:00,0.6,67,,0,,0.7,ìÏ,,1.00E-50,
2012/1/6 0:00,0.4,67,,0,,1.6,ìÏìÏìå,,1.00E-50,
2012/1/6 1:00,0.1,69,,0,,1.7,ìÏìÏìå,,1.00E-50,
2012/1/6 2:00,-0.5,71,,0,,0.5,ìå,,1.00E-50,
2012/1/6 3:00,-0.9,73,,0,,1.4,ìå,,1.00E-50,
2012/1/6 4:00,-0.9,72,,0,,1.4,ìÏêº,,1.00E-50,
2012/1/6 5:00,-1.5,74,,0,,1.2,ñkìå,,1.00E-50,
2012/1/6 6:00,-1,71,,0,,1,ñkìå,,0.95,
2012/1/6 7:00,-1.2,73,,0,,1.7,ìåñkìå,,0.794769184,
2012/1/6 8:00,-0.7,71,,0,,1,ìåñkìå,,0.781320806,
2012/1/6 9:00,1.5,63,,0,,1.1,ìå,,0.773035277,
2012/1/6 10:00,3.3,58,,0,,1.1,ñkìå,,0.755041491,
2012/1/6 11:00,6.5,46,,0,,2.8,êºìÏêº,,0.744725379,
2012/1/6 12:00,8.7,43,,0,,3.6,êº,,0.743155479,
2012/1/6 13:00,8.2,51,,0,,3,êº,,0.759366314,
2012/1/6 14:00,9.3,46,,0,,5.1,ìÏêº,,0.758671685,
2012/1/6 15:00,8.8,45,,0,,3.6,êºìÏêº,,0.789240405,
2012/1/6 16:00,8.7,46,,0,,3.8,êºìÏêº,,0.887830943,
2012/1/6 17:00,7.8,55,,0,,3.8,êºìÏêº,,1.00E-50,
2012/1/6 18:00,7.1,59,,0,,3.2,êº,,1.00E-50,
2012/1/6 19:00,6.9,56,,0,,4.3,êº,,1.00E-50,
2012/1/6 20:00,6.3,55,,0,,2.6,êº,,1.00E-50,
2012/1/6 21:00,6.1,53,,0,,2.5,êºìÏêº,,1.00E-50,
2012/1/6 22:00,6.1,48,,0,,3.3,êºñkêº,,1.00E-50,
2012/1/6 23:00,3.6,60,,0,,1.2,ñk,,1.00E-50,
2012/1/7 0:00,3.3,59,,0,,1.9,ñkñkêº,,1.00E-50,
2012/1/7 1:00,3.9,56,,0,,1.7,ñk,,1.00E-50,
2012/1/7 2:00,3.3,63,,0,,2.6,êºñkêº,,1.00E-50,
2012/1/7 3:00,1.8,70,,0,,2.1,êºñkêº,,1.00E-50,
2012/1/7 4:00,0.9,73,,0,,2.7,ñkêº,,1.00E-50,
2012/1/7 5:00,2.2,67,,0,,2.5,ñkêº,,1.00E-50,
2012/1/7 6:00,2.7,65,,0,,0.5,ñkìå,,1.00E-50,
2012/1/7 7:00,1.8,72,,0,,1.2,ñkñkìå,,0.805530596,
2012/1/7 8:00,1.6,74,,0,,2.2,ñk,,0.791842289,
2012/1/7 9:00,4.9,63,,0,,3,ñkêº,,0.785013881,
2012/1/7 10:00,8.1,54,,0,,1.4,ñkêº,,0.786384576,
2012/1/7 11:00,9.5,49,,0,,4.3,ñkêº,,0.767698793,
2012/1/7 12:00,10.4,47,,0,,4.4,ñkêº,,0.762374359,
2012/1/7 13:00,9.4,51,,0,,3.9,ñkñkêº,,0.768377544,
2012/1/7 14:00,9.7,45,,0,,4.2,ñkñkêº,,0.776737808,
2012/1/7 15:00,9.4,43,,0,,4.7,ñkêº,,0.802383897,
2012/1/7 16:00,10,41,,0,,3.9,ñkêº,,0.865615818,
2012/1/7 17:00,8.9,48,,0,,4.4,ñkêº,,1.00E-50,
2012/1/7 18:00,8.2,52,,0,,2.6,ñkñkêº,,1.00E-50,
2012/1/7 19:00,8.1,52,,0,,2.1,ñkñkêº,,1.00E-50,
2012/1/7 20:00,7.5,55,,0,,3,ñkêº,,1.00E-50,
2012/1/7 21:00,4.6,65,,0,,2.7,êºñkêº,,1.00E-50,
2012/1/7 22:00,3.6,67,,0,,1.9,ñkñkêº,,1.00E-50,
2012/1/7 23:00,2.8,69,,0,,2.2,ñkêº,,1.00E-50,
2012/1/8 0:00,2.3,70,,0,,2,ñkêº,,1.00E-50,
2012/1/8 1:00,2.1,71,,0,,2.3,ñkêº,,1.00E-50,
2012/1/8 2:00,2,71,,0,,2.1,êºñkêº,,1.00E-50,
2012/1/8 3:00,2.5,71,,0,,1.4,ñkêº,,1.00E-50,
2012/1/8 4:00,1.4,77,,0,,0.6,êºñkêº,,1.00E-50,
2012/1/8 5:00,0.7,80,,0,,1.2,ñkìå,,1.00E-50,
2012/1/8 6:00,0.7,80,,0,,1.4,ìåìÏìå,,1.00E-50,
2012/1/8 7:00,0.2,82,,0,,0.2,ê√â∏,,0.816036455,
2012/1/8 8:00,0.4,82,,0,,0.6,ìå,,0.792206295,
2012/1/8 9:00,2.5,75,,0,,1.1,ñk,,0.785307444,
2012/1/8 10:00,5.6,65,,0,,1.4,êº,,0.761940668,
2012/1/8 11:00,8.5,52,,0,,1.2,ñkñkêº,,0.736993804,
2012/1/8 12:00,9.3,51,,0,,1.2,ñkñkêº,,0.655935957,
2012/1/8 13:00,9.9,52,,0,,1.3,êºìÏêº,,0.671636944,
2012/1/8 14:00,9.9,51,,0,,1.7,êº,,0.761152846,
2012/1/8 15:00,9.7,49,,0,,0.7,ìÏìÏìå,,0.507953873,
2012/1/8 16:00,9.7,50,,0,,0.8,ìÏ,,0.401223381,
2012/1/8 17:00,9.1,52,,0,,3.3,ñkìå,,1.00E-50,
2012/1/8 18:00,8.4,56,,0,,2.4,ñkìå,,1.00E-50,
2012/1/8 19:00,8,60,,0,,1.9,ñkìå,,1.00E-50,
2012/1/8 20:00,7,64,,0,,2,ìåñkìå,,1.00E-50,
2012/1/8 21:00,6,67,,0,,1.5,ìå,,1.00E-50,
2012/1/8 22:00,5.9,67,,0,,1,ñkìå,,1.00E-50,
2012/1/8 23:00,5.4,69,,0,,2.3,ñkñkêº,,1.00E-50,
2012/1/9 0:00,5.5,70,,0,,1,ñk,,1.00E-50,
2012/1/9 1:00,5.4,71,,0,,0.6,ñkñkêº,,1.00E-50,
2012/1/9 2:00,5.3,72,,0,,1,ñk,,1.00E-50,
2012/1/9 3:00,4.9,74,,0,,0.9,ìåñkìå,,1.00E-50,
2012/1/9 4:00,4.4,76,,0,,1.4,ìåñkìå,,1.00E-50,
2012/1/9 5:00,4.1,77,,0,,0.5,ìå,,1.00E-50,
2012/1/9 6:00,5.4,72,,0,,0.3,ìÏìå,,1.00E-50,
2012/1/9 7:00,9.2,52,,0,,0.8,ñkìå,,0.765942049,
2012/1/9 8:00,8.8,53,,0,,1.2,ìÏìå,,0.727900966,
2012/1/9 9:00,8.8,58,,0,,0.7,ìå,,0.701926268,
2012/1/9 10:00,9.1,54,,0,,0.7,ñk,,0.726640241,
2012/1/9 11:00,9.7,46,,0,,2.6,êº,,0.719450043,
2012/1/9 12:00,10.8,43,,0,,2.7,êº,,0.79034915,
2012/1/9 13:00,10,48,,0,,3.8,êºìÏêº,,0.55208026,
2012/1/9 14:00,9.7,47,,0,,2,êºìÏêº,,0.791204249,
2012/1/9 15:00,9.8,47,,0,,1.1,ìÏ,,0.508388865,
2012/1/9 16:00,10,41,,0,,1.2,ñkñkìå,,0.399944084,
2012/1/9 17:00,9.4,43,,0,,2.4,ñk,,1.00E-50,
2012/1/9 18:00,8.6,48,,0,,2.2,ñk,,1.00E-50,
2012/1/9 19:00,8.1,54,,0,,2.3,ñk,,1.00E-50,
2012/1/9 20:00,8.2,48,,0,,1.2,ñk,,1.00E-50,
2012/1/9 21:00,5.8,55,,0,,1.5,ñkñkêº,,1.00E-50,
2012/1/9 22:00,4.3,63,,0,,2.2,ñkñkêº,,1.00E-50,
2012/1/9 23:00,3.1,70,,0,,1.5,ñk,,1.00E-50,
2012/1/10 0:00,2.8,71,,0,,1.2,ñkñkìå,,1.00E-50,
2012/1/10 1:00,2.2,72,,0,,0.9,ìÏìÏìå,,1.00E-50,
2012/1/10 2:00,1.6,75,,0,,1.4,ìÏìÏìå,,1.00E-50,
2012/1/10 3:00,1.4,75,,0,,1.6,ìÏìÏìå,,1.00E-50,
2012/1/10 4:00,1.6,74,,0,,1.4,ìå,,1.00E-50,
2012/1/10 5:00,1.4,74,,0,,1.6,ìå,,1.00E-50,
2012/1/10 6:00,0.7,76,,0,,1.3,ìÏìÏìå,,1.00E-50,
2012/1/10 7:00,0.2,79,,0,,1.3,ìÏ,,0.566981023,
2012/1/10 8:00,1.3,76,,0,,1.1,ìåìÏìå,,0.584589422,
2012/1/10 9:00,3,70,,0,,0.7,ìå,,0.781559325,
2012/1/10 10:00,5.7,61,,0,,0.8,ñkìå,,0.70137778,
2012/1/10 11:00,8.6,49,,0,,0.7,ìå,,0.667823799,
2012/1/10 12:00,10.3,41,,0,,1.4,ìÏìÏêº,,0.714314634,
2012/1/10 13:00,9.9,44,,0,,2.3,ìÏ,,0.655537133,
2012/1/10 14:00,9.8,47,,0,,2.2,êºñkêº,,0.523129531,
