ì˙éû,ãCâ∑,ëäëŒéºìx,ãCà≥,ç~êÖó ,ç~ê·ó ,ïóë¨,ïóå¸,ëSìVì˙éÀó ,ëÂãCìßâﬂó¶,â_ó 
y/m/d HH:MM,Åé,%,Pa,mm,mm,m/s,-,W/m2,-,-
date,temp,rh,p_atm,Jp,Js,WS,WD,Qs,tau,cloudiness
2022/1/5 10:00,3.6,56,,0.0,,1.4,ñkñkêº,,0.01,
2022/1/5 11:00,5.2,48,,0.0,,1.9,ñk,,0.01,
2022/1/5 12:00,5.8,42,,0.0,,2.2,ñk,,0.01,
2022/1/5 13:00,6.3,40,,0.0,,2.7,ñk,,0.01,
2022/1/5 14:00,6.6,39,,0.0,,2.8,ñk,,0.01,
2022/1/5 15:00,6.1,41,,0.0,,3.1,ñkñkêº,,0.01,
2022/1/5 16:00,5.5,45,,0.0,,2.8,ñkñkêº,,0.01,
2022/1/5 17:00,4.5,50,,0.0,,1.6,ñk,,0.01,
2022/1/5 18:00,3.6,55,,0.0,,1.3,ñkêº,,1.0e-50,
2022/1/5 19:00,2.7,60,,0.0,,1.2,ñkñkêº,,1.0e-50,
2022/1/5 20:00,2.0,65,,0.0,,0.9,ñk,,1.0e-50,
2022/1/5 21:00,1.3,70,,0.0,,0.9,ñkñkêº,,1.0e-50,
2022/1/5 22:00,0.9,71,,0.0,,1.1,ñkñkêº,,1.0e-50,
2022/1/5 23:00,0.7,72,,0.0,,0.9,ñkñkêº,,1.0e-50,
2022/1/6 0:00,0.3,74,,0.0,,0.8,ñkêº,,1.0e-50,
2022/1/6 1:00,0.4,75,,0.0,,0.2,ñkñkìå,,1.0e-50,
2022/1/6 2:00,0.5,74,,0.0,,0.7,ìÏìÏìå,,1.0e-50,
2022/1/6 3:00,0.4,76,,0.0,,0.7,ìÏêº,,1.0e-50,
2022/1/6 4:00,0.2,78,,0.0,,0.4,ìÏêº,,1.0e-50,
2022/1/6 5:00,0.2,79,,0.0,,0.3,ìÏìÏìå,,1.0e-50,
2022/1/6 6:00,0.8,78,,0.0,,1.1,ñk,,1.0e-50,
2022/1/6 7:00,0.7,78,,0.0,,0.9,ñkñkêº,,1.0e-50,
2022/1/6 8:00,1.1,76,,0.0,,0.9,ñkñkêº,,0.01,
2022/1/6 9:00,2.3,69,,0.0,,0.7,ñkñkêº,,0.01,
2022/1/6 10:00,4.7,56,,0.0,,1.4,ñk,,0.01,
2022/1/6 11:00,6.5,44,,0.0,,2.3,ñkñkìå,,0.01,
2022/1/6 12:00,6.9,43,,0.0,,2.5,ñkñkìå,,0.01,
2022/1/6 13:00,7.4,40,,0.0,,3.1,ñkñkìå,,0.01,
2022/1/6 14:00,7.4,41,,0.0,,3.0,ñk,,0.01,
2022/1/6 15:00,6.7,48,,0.0,,3.1,ñk,,0.01,
2022/1/6 16:00,6.4,46,,0.0,,2.5,ñk,,0.01,
2022/1/6 17:00,5.6,48,,0.0,,1.6,ñk,,0.01,
2022/1/6 18:00,4.7,52,,0.0,,1.2,ñk,,1.0e-50,
2022/1/6 19:00,3.7,56,,0.0,,1.2,ñk,,1.0e-50,
2022/1/6 20:00,2.8,60,,0.0,,1.2,ñkñkêº,,1.0e-50,
2022/1/6 21:00,2.2,64,,0.0,,1.1,ñk,,1.0e-50,
2022/1/6 22:00,1.7,65,,0.0,,1.1,ñk,,1.0e-50,
2022/1/6 23:00,0.9,69,,0.0,,0.7,ñkñkêº,,1.0e-50,
2022/1/7 0:00,0.4,71,,0.0,,0.9,ñkñkêº,,1.0e-50,
2022/1/7 1:00,-0.2,73,,0.0,,0.6,ñkñkìå,,1.0e-50,
2022/1/7 2:00,-0.8,78,,0.0,,0.2,ìÏêº,,1.0e-50,
2022/1/7 3:00,-1.0,81,,0.0,,0.3,ìÏêº,,1.0e-50,
2022/1/7 4:00,-1.4,84,,0.0,,0.2,ìå,,1.0e-50,
2022/1/7 5:00,-1.6,84,,0.0,,0.4,ñkêº,,1.0e-50,
2022/1/7 6:00,-1.6,83,,0.0,,0.5,ñkñkìå,,1.0e-50,
2022/1/7 7:00,-1.5,83,,0.0,,0.8,ñkìå,,1.0e-50,
2022/1/7 8:00,-1.1,81,,0.0,,0.4,êº,,0.01,
2022/1/7 9:00,1.0,69,,0.0,,0.6,ñkñkìå,,0.01,
2022/1/7 10:00,3.3,61,,0.0,,0.4,ìÏìå,,0.01,
2022/1/7 11:00,5.2,47,,0.0,,0.9,ìåìÏìå,,0.01,
2022/1/7 12:00,7.0,35,,0.0,,1.2,ìÏ,,0.01,
2022/1/7 13:00,8.2,29,,0.0,,0.9,ìÏ,,0.01,
2022/1/7 14:00,9.2,26,,0.0,,1.5,ìÏìÏêº,,0.01,
2022/1/7 15:00,9.9,27,,0.0,,1.8,ìÏêº,,0.01,
2022/1/7 16:00,9.7,30,,0.0,,1.1,ìÏìÏêº,,0.01,
2022/1/7 17:00,8.2,36,,0.0,,1.1,ìÏìÏêº,,0.01,
2022/1/7 18:00,6.4,46,,0.0,,0.6,ìÏìÏêº,,1.0e-50,
2022/1/7 19:00,5.8,47,,0.0,,0.7,ìÏêº,,1.0e-50,
2022/1/7 20:00,5.4,48,,0.0,,0.7,ìÏìÏêº,,1.0e-50,
