  , room2 , room2 , room2 , wall1_IM , wall1_IM , wall1_IM , wall1_IM , wall1_IM , wall1_IM , wall2_IM , wall2_IM , wall2_IM , wall2_IM , wall2_IM , wall2_IM , wall3_IM , wall3_IM , wall3_IM , wall3_IM , wall3_IM , wall3_IM , wall4_IM , wall4_IM , wall4_IM , wall4_IM , wall4_IM , wall4_IM , wall5_IM , wall5_IM , wall5_IM , wall5_IM , wall5_IM , wall5_IM , wall6_IM , wall6_IM , wall6_IM , wall6_IM , wall6_IM , wall6_IM , room1 , room1 , room1 , opening1 , opening1 , Heat source , Moisture source , 
2020/04/20 14:00,22.5700390129669,0.7481564592613427,0.012834812080593592,24.05147580922022,0.8955119229763707,0.016908252808654916,-2.8062940327612296,-3.5683101162595775e-6,-0.0,24.05147580922022,0.8955119229763707,0.016908252808654916,-2.8062940327612296,-3.5683101162595775e-6,-0.0,24.05147580922022,0.8955119229763707,0.016908252808654916,-2.8062940327612296,-3.5683101162595775e-6,-0.0,24.05147580922022,0.8955119229763707,0.016908252808654916,-2.8062940327612296,-3.5683101162595775e-6,-0.0,24.05147580922022,0.8955119229763707,0.016908252808654916,-5.612588065522459,-7.136620232519155e-6,-0.0,24.05147580922022,0.8955119229763707,0.016908252808654916,-5.612588065522459,-7.136620232519155e-6,-0.0,24.901666666666642,0.8898325798562953,0.017699993888586334,15.86291312200592,2.8231306772703833e-5,0.0,0.0,
2020/04/20 14:10,22.628597569774854,0.7482445547604496,0.012883022855873972,24.02275185376908,0.8973251786841223,0.016913425856599062,-2.5999378259761845,-3.4010217279650016e-6,-0.0,24.02275185376908,0.8973251786841223,0.016913425856599062,-2.5999378259761845,-3.4010217279650016e-6,-0.0,24.02275185376908,0.8973251786841223,0.016913425856599062,-2.5999378259761845,-3.4010217279650016e-6,-0.0,24.02275185376908,0.8973251786841223,0.016913425856599062,-2.5999378259761845,-3.4010217279650016e-6,-0.0,24.02275185376908,0.8973251786841223,0.016913425856599062,-5.199875651952369,-6.802043455930003e-6,-0.0,24.02275185376908,0.8973251786841223,0.016913425856599062,-5.199875651952369,-6.802043455930003e-6,-0.0,24.779999999999973,0.8857915727402281,0.017486280765107387,15.008910904910863,2.673444783938933e-5,0.0,0.0,
2020/04/20 14:20,22.685417308495914,0.7482920949663453,0.012929289238620852,23.96195686326297,0.8985178803260205,0.016873101251871823,-2.3604235737811763,-3.1924775309680786e-6,-0.0,23.96195686326297,0.8985178803260205,0.016873101251871823,-2.3604235737811763,-3.1924775309680786e-6,-0.0,23.96195686326297,0.8985178803260205,0.016873101251871823,-2.3604235737811763,-3.1924775309680786e-6,-0.0,23.96195686326297,0.8985178803260205,0.016873101251871823,-2.3604235737811763,-3.1924775309680786e-6,-0.0,23.96195686326297,0.8985178803260205,0.016873101251871823,-4.720847147562353,-6.384955061936157e-6,-0.0,23.96195686326297,0.8985178803260205,0.016873101251871823,-4.720847147562353,-6.384955061936157e-6,-0.0,24.646666666666647,0.8809973585469925,0.01724719757922405,14.078529349766086,2.5101393537296963e-5,0.0,0.0,
2020/04/20 14:30,22.740723618063726,0.7483279902162755,0.012974283275862517,23.887970369737275,0.8991916268433829,0.016809147133100184,-2.1261180053750905,-2.9849775182156133e-6,-0.0,23.887970369737275,0.8991916268433829,0.016809147133100184,-2.1261180053750905,-2.9849775182156133e-6,-0.0,23.887970369737275,0.8991916268433829,0.016809147133100184,-2.1261180053750905,-2.9849775182156133e-6,-0.0,23.887970369737275,0.8991916268433829,0.016809147133100184,-2.1261180053750905,-2.9849775182156133e-6,-0.0,23.887970369737275,0.8991916268433829,0.016809147133100184,-4.252236010750181,-5.9699550364312266e-6,-0.0,23.887970369737275,0.8991916268433829,0.016809147133100184,-4.252236010750181,-5.9699550364312266e-6,-0.0,24.51333333333332,0.876076891282489,0.017008293097431543,13.152878938200956,2.34754700570546e-5,0.0,0.0,
2020/04/20 14:40,22.794167388326173,0.7483509849450015,0.013017688249206535,23.805866931128946,0.8994071836860829,0.016728242942382333,-1.9015918211900387,-2.779220591299443e-6,-0.0,23.805866931128946,0.8994071836860829,0.016728242942382333,-1.9015918211900387,-2.779220591299443e-6,-0.0,23.805866931128946,0.8994071836860829,0.016728242942382333,-1.9015918211900387,-2.779220591299443e-6,-0.0,23.805866931128946,0.8994071836860829,0.016728242942382333,-1.9015918211900387,-2.779220591299443e-6,-0.0,23.805866931128946,0.8994071836860829,0.016728242942382333,-3.8031836423800773,-5.558441182598886e-6,-0.0,23.805866931128946,0.8994071836860829,0.016728242942382333,-3.8031836423800773,-5.558441182598886e-6,-0.0,24.379999999999995,0.8710282318852787,0.016769567119444623,12.232991676714164,2.185846657499749e-5,0.0,0.0,
2020/04/20 14:50,22.84518099298765,0.7483597313538713,0.013059006032317553,23.71819615905082,0.8992077099972754,0.01663407376113324,-1.6899527445652751,-2.5753855396337447e-6,-0.0,23.71819615905082,0.8992077099972754,0.01663407376113324,-1.6899527445652751,-2.5753855396337447e-6,-0.0,23.71819615905082,0.8992077099972754,0.01663407376113324,-1.6899527445652751,-2.5753855396337447e-6,-0.0,23.71819615905082,0.8992077099972754,0.01663407376113324,-1.6899527445652751,-2.5753855396337447e-6,-0.0,23.71819615905082,0.8992077099972754,0.01663407376113324,-3.3799054891305502,-5.150771079267489e-6,-0.0,23.71819615905082,0.8992077099972754,0.01663407376113324,-3.3799054891305502,-5.150771079267489e-6,-0.0,24.24666666666667,0.865849413902068,0.01653101944527725,11.320491052921852,2.0253195082224352e-5,0.0,0.0,
2020/04/20 15:00,22.89312444110982,0.7483537751852835,0.013097691117434043,23.626478713626398,0.8986256412244316,0.016529024295394823,-1.4918363504093435,-2.3736306164950146e-6,-0.0,23.626478713626398,0.8986256412244316,0.016529024295394823,-1.4918363504093435,-2.3736306164950146e-6,-0.0,23.626478713626398,0.8986256412244316,0.016529024295394823,-1.4918363504093435,-2.3736306164950146e-6,-0.0,23.626478713626398,0.8986256412244316,0.016529024295394823,-1.4918363504093435,-2.3736306164950146e-6,-0.0,23.626478713626398,0.8986256412244316,0.016529024295394823,-2.983672700818687,-4.747261232990029e-6,-0.0,23.626478713626398,0.8986256412244316,0.016529024295394823,-2.983672700818687,-4.747261232990029e-6,-0.0,24.113333333333344,0.8605384431013474,0.016292649875241993,10.417155042435525,1.866272793214584e-5,0.0,0.0,
2020/04/20 15:10,22.93964940661465,0.7484773917503806,0.013137648988636473,23.59281898997932,0.8981115324670419,0.016484962696098,-1.509723923716706,-2.387076623426237e-6,-0.0,23.59281898997932,0.8981115324670419,0.016484962696098,-1.509723923716706,-2.387076623426237e-6,-0.0,23.59281898997932,0.8981115324670419,0.016484962696098,-1.509723923716706,-2.387076623426237e-6,-0.0,23.59281898997932,0.8981115324670419,0.016484962696098,-1.509723923716706,-2.387076623426237e-6,-0.0,23.59281898997932,0.8981115324670419,0.016484962696098,-3.019447847433412,-4.774153246852474e-6,-0.0,23.59281898997932,0.8981115324670419,0.016484962696098,-3.019447847433412,-4.774153246852474e-6,-0.0,24.11500000000001,0.8660324029040614,0.016401093764805346,10.640453534086419,1.9080442695317823e-5,0.0,0.0,
2020/04/20 15:20,22.983265818543146,0.7486451277824815,0.013176141098517785,23.602204303803376,0.8980499697412315,0.016493374507379432,-1.5930650258714252,-2.4673346292547653e-6,-0.0,23.602204303803376,0.8980499697412315,0.016493374507379432,-1.5930650258714252,-2.4673346292547653e-6,-0.0,23.602204303803376,0.8980499697412315,0.016493374507379432,-1.5930650258714252,-2.4673346292547653e-6,-0.0,23.602204303803376,0.8980499697412315,0.016493374507379432,-1.5930650258714252,-2.4673346292547653e-6,-0.0,23.602204303803376,0.8980499697412315,0.016493374507379432,-3.1861300517428504,-4.934669258509531e-6,-0.0,23.602204303803376,0.8980499697412315,0.016493374507379432,-3.1861300517428504,-4.934669258509531e-6,-0.0,24.13166666666666,0.8727216282586738,0.016548125919989734,10.994348080447253,1.9730507967763504e-5,0.0,0.0,
2020/04/20 15:30,23.022959193347788,0.7488130526975172,0.013211535431585522,23.627773911498764,0.8983412628463727,0.016524978139317623,-1.6851058964935817,-2.5497145795729153e-6,-0.0,23.627773911498764,0.8983412628463727,0.016524978139317623,-1.6851058964935817,-2.5497145795729153e-6,-0.0,23.627773911498764,0.8983412628463727,0.016524978139317623,-1.6851058964935817,-2.5497145795729153e-6,-0.0,23.627773911498764,0.8983412628463727,0.016524978139317623,-1.6851058964935817,-2.5497145795729153e-6,-0.0,23.627773911498764,0.8983412628463727,0.016524978139317623,-3.3702117929871633,-5.0994291591458305e-6,-0.0,23.627773911498764,0.8983412628463727,0.016524978139317623,-3.3702117929871633,-5.0994291591458305e-6,-0.0,24.148333333333312,0.8793967250044425,0.016695225817648346,11.35856379453162,2.039837257453984e-5,0.0,0.0,
