  , room1 , room1 , room1 , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall1_IP , wall2_IP , wall2_IP , wall2_IP , wall2_IP , wall2_IP , wall2_IP , wall3_IP , wall3_IP , wall3_IP , wall3_IP , wall3_IP , wall3_IP , wall4_IP , wall4_IP , wall4_IP , wall4_IP , wall4_IP , wall4_IP , wall5_IP , wall5_IP , wall5_IP , wall5_IP , wall5_IP , wall5_IP , wall6_IP , wall6_IP , wall6_IP , wall6_IP , wall6_IP , wall6_IP , room2 , room2 , room2 , opening1 , opening1 , Heat source , Moisture source , 
2020/04/03 16:20,19.704999999999984,0.5156493352801511,0.007354991076266295,18.915274402527473,0.5233479373273056,0.0071037204314799585,-132.27903757664563,-2.5575273422641128e-5,-0.0,18.915274402527473,0.5233479373273056,0.0071037204314799585,-132.27903757664563,-2.5575273422641128e-5,-0.0,18.915274402527473,0.5233479373273056,0.0071037204314799585,-132.27903757664563,-2.5575273422641128e-5,-0.0,18.915274402527473,0.5233479373273056,0.0071037204314799585,-132.27903757664563,-2.5575273422641128e-5,-0.0,18.915274402527473,0.5233479373273056,0.0071037204314799585,-264.55807515329127,-5.1150546845282256e-5,-0.0,18.915274402527473,0.5233479373273056,0.0071037204314799585,-264.55807515329127,-5.1150546845282256e-5,-0.0,18.088574963147835,0.5781849005598986,0.0074559981722160384,0.32933338382599686,8.587693806130431e-7,0.0,0.0,
2020/04/03 16:30,19.654999999999973,0.523953965777688,0.007451417931790021,18.938691578125884,0.5263375742414174,0.007155344993691239,-119.98166066390993,-3.0128330876083775e-5,-0.0,18.938691578125884,0.5263375742414174,0.007155344993691239,-119.98166066390993,-3.0128330876083775e-5,-0.0,18.938691578125884,0.5263375742414174,0.007155344993691239,-119.98166066390993,-3.0128330876083775e-5,-0.0,18.938691578125884,0.5263375742414174,0.007155344993691239,-119.98166066390993,-3.0128330876083775e-5,-0.0,18.938691578125884,0.5263375742414174,0.007155344993691239,-239.96332132781987,-6.025666175216755e-5,-0.0,18.938691578125884,0.5263375742414174,0.007155344993691239,-239.96332132781987,-6.025666175216755e-5,-0.0,18.118837813071764,0.5783005922489134,0.0074718788632481044,0.06671281586682198,3.611333590128167e-7,0.0,0.0,
2020/04/03 16:40,19.605000000000018,0.5323058989113884,0.007547874339993662,18.960968982759653,0.529739175458995,0.00721226676889946,-107.87519538776125,-3.414304672963643e-5,-0.0,18.960968982759653,0.529739175458995,0.00721226676889946,-107.87519538776125,-3.414304672963643e-5,-0.0,18.960968982759653,0.529739175458995,0.00721226676889946,-107.87519538776125,-3.414304672963643e-5,-0.0,18.960968982759653,0.529739175458995,0.00721226676889946,-107.87519538776125,-3.414304672963643e-5,-0.0,18.960968982759653,0.529739175458995,0.00721226676889946,-215.7503907755225,-6.828609345927286e-5,-0.0,18.960968982759653,0.529739175458995,0.00721226676889946,-215.7503907755225,-6.828609345927286e-5,-0.0,18.148826061872285,0.5784207448343669,0.007487717769947335,-0.1961403462448743,-1.3711182131693128e-7,0.0,0.0,
2020/04/03 16:50,19.555000000000007,0.5407053751975717,0.007644360314465154,18.981788061838984,0.5334913461300422,0.007273507454391587,-96.01299964197139,-3.7719274614060715e-5,-0.0,18.981788061838984,0.5334913461300422,0.007273507454391587,-96.01299964197139,-3.7719274614060715e-5,-0.0,18.981788061838984,0.5334913461300422,0.007273507454391587,-96.01299964197139,-3.7719274614060715e-5,-0.0,18.981788061838984,0.5334913461300422,0.007273507454391587,-96.01299964197139,-3.7719274614060715e-5,-0.0,18.981788061838984,0.5334913461300422,0.007273507454391587,-192.02599928394278,-7.543854922812143e-5,-0.0,18.981788061838984,0.5334913461300422,0.007273507454391587,-192.02599928394278,-7.543854922812143e-5,-0.0,18.17852469192701,0.5785455940419841,0.007503510464330819,-0.45924058423861425,-6.359906082801343e-7,0.0,0.0,
2020/04/03 17:00,19.504999999999995,0.5491526363706409,0.007740875868800771,19.001035076042456,0.5375428428163277,0.007338311715064755,-84.4141247628879,-4.093412500200603e-5,-0.0,19.001035076042456,0.5375428428163277,0.007338311715064755,-84.4141247628879,-4.093412500200603e-5,-0.0,19.001035076042456,0.5375428428163277,0.007338311715064755,-84.4141247628879,-4.093412500200603e-5,-0.0,19.001035076042456,0.5375428428163277,0.007338311715064755,-84.4141247628879,-4.093412500200603e-5,-0.0,19.001035076042456,0.5375428428163277,0.007338311715064755,-168.8282495257758,-8.186825000401206e-5,-0.0,19.001035076042456,0.5375428428163277,0.007338311715064755,-168.8282495257758,-8.186825000401206e-5,-0.0,18.207946510299166,0.578675258947301,0.007519264252245161,-0.7225641217505654,-1.1354606439578757e-6,0.0,0.0,
2020/04/03 17:10,19.485000000000014,0.5559695418596123,0.007828312982304502,19.020589971637435,0.5418054575556979,0.00740633745590477,-77.78867975073197,-4.289734738156974e-5,-0.0,19.020589971637435,0.5418054575556979,0.00740633745590477,-77.78867975073197,-4.289734738156974e-5,-0.0,19.020589971637435,0.5418054575556979,0.00740633745590477,-77.78867975073197,-4.289734738156974e-5,-0.0,19.020589971637435,0.5418054575556979,0.00740633745590477,-77.78867975073197,-4.289734738156974e-5,-0.0,19.020589971637435,0.5418054575556979,0.00740633745590477,-155.57735950146395,-8.579469476313947e-5,-0.0,19.020589971637435,0.5418054575556979,0.00740633745590477,-155.57735950146395,-8.579469476313947e-5,-0.0,18.23725966091746,0.5787990597596018,0.007534918602186803,-0.9566116428875375,-1.5760920434842844e-6,0.0,0.0,
2020/04/03 17:20,19.468333333333362,0.5626149443798691,0.007914762111167806,19.040361662606244,0.5461896840213998,0.007476318630088321,-71.68525484679222,-4.4560381485498126e-5,-0.0,19.040361662606244,0.5461896840213998,0.007476318630088321,-71.68525484679222,-4.4560381485498126e-5,-0.0,19.040361662606244,0.5461896840213998,0.007476318630088321,-71.68525484679222,-4.4560381485498126e-5,-0.0,19.040361662606244,0.5461896840213998,0.007476318630088321,-71.68525484679222,-4.4560381485498126e-5,-0.0,19.040361662606244,0.5461896840213998,0.007476318630088321,-143.37050969358444,-8.912076297099625e-5,-0.0,19.040361662606244,0.5461896840213998,0.007476318630088321,-143.37050969358444,-8.912076297099625e-5,-0.0,18.266353051453905,0.5789210232174729,0.007550472688602898,-1.187764751549139,-2.0108795883500683e-6,0.0,0.0,
2020/04/03 17:30,19.451666666666654,0.5692736092376015,0.008001234975000342,19.059719961726387,0.5506741856627527,0.007547669421655076,-65.65107307749471,-4.608573393421081e-5,-0.0,19.059719961726387,0.5506741856627527,0.007547669421655076,-65.65107307749471,-4.608573393421081e-5,-0.0,19.059719961726387,0.5506741856627527,0.007547669421655076,-65.65107307749471,-4.608573393421081e-5,-0.0,19.059719961726387,0.5506741856627527,0.007547669421655076,-65.65107307749471,-4.608573393421081e-5,-0.0,19.059719961726387,0.5506741856627527,0.007547669421655076,-131.30214615498943,-9.217146786842163e-5,-0.0,19.059719961726387,0.5506741856627527,0.007547669421655076,-131.30214615498943,-9.217146786842163e-5,-0.0,18.295180688030428,0.5790468849149353,0.007565979582114393,-1.4191491203664555,-2.4461322617717285e-6,0.0,0.0,
2020/04/03 17:40,19.435000000000002,0.5759455593260706,0.008087731583578252,19.07855040195642,0.5552426797636715,0.007620109321387578,-59.70530767230002,-4.750201473023342e-5,-0.0,19.07855040195642,0.5552426797636715,0.007620109321387578,-59.70530767230002,-4.750201473023342e-5,-0.0,19.07855040195642,0.5552426797636715,0.007620109321387578,-59.70530767230002,-4.750201473023342e-5,-0.0,19.07855040195642,0.5552426797636715,0.007620109321387578,-59.70530767230002,-4.750201473023342e-5,-0.0,19.07855040195642,0.5552426797636715,0.007620109321387578,-119.41061534460005,-9.500402946046684e-5,-0.0,19.07855040195642,0.5552426797636715,0.007620109321387578,-119.41061534460005,-9.500402946046684e-5,-0.0,18.32373276332504,0.5791768324252645,0.007581436671143113,-1.650773296257512,-2.8818641146521217e-6,0.0,0.0,
2020/04/03 17:50,19.41833333333335,0.582630817577568,0.008174251946683054,19.096823071998585,0.5598818701190753,0.007693436877966226,-53.852968773573195,-4.882977398608193e-5,-0.0,19.096823071998585,0.5598818701190753,0.007693436877966226,-53.852968773573195,-4.882977398608193e-5,-0.0,19.096823071998585,0.5598818701190753,0.007693436877966226,-53.852968773573195,-4.882977398608193e-5,-0.0,19.096823071998585,0.5598818701190753,0.007693436877966226,-53.852968773573195,-4.882977398608193e-5,-0.0,19.096823071998585,0.5598818701190753,0.007693436877966226,-107.70593754714639,-9.765954797216385e-5,-0.0,19.096823071998585,0.5598818701190753,0.007693436877966226,-107.70593754714639,-9.765954797216385e-5,-0.0,18.352003328282706,0.5793108925797275,0.007596841054488729,-1.88264677047232,-3.318091546108765e-6,0.0,0.0,
